+--------------------------------------------------------------------------------+--------+
|                                   Base Path                                    | Amount |
|                     /data4/paper/2012EoR/psa_live/psa6279                      |  134   |
|                     /data4/paper/2012EoR/psa_live/psa6280                      |  140   |
|                     /data4/paper/2012EoR/psa_live/psa6281                      |  132   |
|                     /data4/paper/2012EoR/psa_live/psa6282                      |  140   |
|                     /data4/paper/2012EoR/psa_live/psa6283                      |  101   |
|                     /data4/paper/2012EoR/psa_live/psa6284                      |  140   |
|                     /data4/paper/2012EoR/psa_live/psa6285                      |   63   |
|                     /data4/paper/2012EoR/psa_live/psa6286                      |  140   |
|                     /data4/paper/2012EoR/psa_live/psa6287                      |   31   |
|                     /data4/paper/2012EoR/psa_live/psa6288                      |  140   |
|                     /data4/paper/2012EoR/psa_live/psa6289                      |  136   |
|                     /data4/paper/2012EoR/psa_live/psa6290                      |  140   |
|                     /data4/paper/2012EoR/psa_live/psa6291                      |  134   |
|                     /data4/paper/2012EoR/psa_live/psa6292                      |  140   |
|                     /data4/paper/2012EoR/psa_live/psa6293                      |  140   |
|                     /data4/paper/2012EoR/psa_live/psa6294                      |  140   |
|                     /data4/paper/2012EoR/psa_live/psa6295                      |  136   |
|                     /data4/paper/2012EoR/psa_live/psa6296                      |  140   |
|                     /data4/paper/2012EoR/psa_live/psa6297                      |  134   |
|                     /data4/paper/2012EoR/psa_live/psa6298                      |  140   |
|                     /data4/paper/2012EoR/psa_live/psa6299                      |  100   |
|                     /data4/paper/2012EoR/psa_live/psa6300                      |   88   |
|                     /data4/paper/2012EoR/psa_live/psa6301                      |  140   |
|                     /data4/paper/2012EoR/psa_live/psa6302                      |  140   |
|                     /data4/paper/2012EoR/psa_live/psa6304                      |  138   |
|                     /data4/paper/2012EoR/psa_live/psa6305                      |  140   |
|                     /data4/paper/2012EoR/psa_live/psa6306                      |  138   |
|                     /data4/paper/2012EoR/psa_live/psa6307                      |  138   |
|                     /data4/paper/2012EoR/psa_live/psa6309                      |  140   |
|                     /data4/paper/2012EoR/psa_live/psa6310                      |  138   |
|                     /data4/paper/2012EoR/psa_live/psa6311                      |  114   |
|                     /data4/paper/2012EoR/psa_live/psa6312                      |  118   |
|                     /data4/paper/2012EoR/psa_live/psa6313                      |  100   |
|                     /data4/paper/2012EoR/psa_live/psa6314                      |  113   |
|                     /data4/paper/2012EoR/psa_live/psa6315                      |  140   |
|                     /data4/paper/2012EoR/psa_live/psa6316                      |  140   |
|                     /data4/paper/2012EoR/psa_live/psa6317                      |  134   |
|                     /data4/paper/2012EoR/psa_live/psa6318                      |  140   |
|                     /data4/paper/2012EoR/psa_live/psa6319                      |  136   |
|                     /data4/paper/2012EoR/psa_live/psa6320                      |  140   |
|                     /data4/paper/2012EoR/psa_live/psa6321                      |  138   |
|                     /data4/paper/2012EoR/psa_live/psa6322                      |  140   |
|                     /data4/paper/2012EoR/psa_live/psa6323                      |  132   |
|                     /data4/paper/2012EoR/psa_live/psa6324                      |  139   |
|                     /data4/paper/2012EoR/psa_live/psa6325                      |  136   |
|                     /data4/paper/2012EoR/psa_live/psa6326                      |  138   |
|                     /data4/paper/2012EoR/psa_live/psa6327                      |  132   |
|                     /data4/paper/2012EoR/psa_live/psa6328                      |  123   |
|                     /data4/paper/2012EoR/psa_live/psa6329                      |  103   |
|                     /data4/paper/2012EoR/psa_live/psa6330                      |   74   |
|                     /data4/paper/2012EoR/psa_live/psa6331                      |  140   |
|                     /data4/paper/2012EoR/psa_live/psa6332                      |  136   |
|                     /data4/paper/2012EoR/psa_live/psa6333                      |  140   |
|                     /data4/paper/2012EoR/psa_live/psa6334                      |  140   |
|                     /data4/paper/2012EoR/psa_live/psa6335                      |  140   |
|                     /data4/paper/2012EoR/psa_live/psa6336                      |  138   |
|                     /data4/paper/2012EoR/psa_live/psa6337                      |  140   |
|                     /data4/paper/2012EoR/psa_live/psa6338                      |  138   |
|                     /data4/paper/2012EoR/psa_live/psa6339                      |  140   |
|                     /data4/paper/2012EoR/psa_live/psa6340                      |  140   |
|                     /data4/paper/2012EoR/psa_live/psa6341                      |  121   |
|                     /data4/paper/2012EoR/psa_live/psa6342                      |   98   |
|                     /data4/paper/2012EoR/psa_live/psa6343                      |  100   |
|                     /data4/paper/2012EoR/psa_live/psa6344                      |   86   |
|                     /data4/paper/2012EoR/psa_live/psa6345                      |  140   |
|                     /data4/paper/2012EoR/psa_live/psa6346                      |  140   |
|                     /data4/paper/2012EoR/psa_live/psa6347                      |  132   |
|                     /data4/paper/2012EoR/psa_live/psa6348                      |  140   |
|                     /data4/paper/2012EoR/psa_live/psa6349                      |  136   |
|                     /data4/paper/2012EoR/psa_live/psa6350                      |  140   |
|                     /data4/paper/2012EoR/psa_live/psa6351                      |  136   |
|                     /data4/paper/2012EoR/psa_live/psa6352                      |  134   |
|                     /data4/paper/2012EoR/psa_live/psa6353                      |  136   |
|                     /data4/paper/2012EoR/psa_live/psa6354                      |  140   |
|                     /data4/paper/2012EoR/psa_live/psa6355                      |   84   |
|                     /data4/paper/2012EoR/psa_live/psa6356                      |  135   |
