+-----+------------+----------------------------------------------------+----------------------------------------------+-------------+--------+
| Era | Julian Day |                      Raw Path                      |               Compressed Path                | Type(R/C/B) | Amount |
|  32 |    5948    |      folio:/data4/paper/raw_to_tape/2455948/       |     folio:/data4/paper/2011EoR/2455948/      |      B      |  142   |
|  32 |    5948    |      folio:/data4/paper/raw_to_tape/2455948/       |                     NULL                     |      R      |   1    |
|  32 |    5949    |      folio:/data4/paper/raw_to_tape/2455949/       |     folio:/data4/paper/2011EoR/2455949/      |      B      |  143   |
|  32 |    5949    |      folio:/data4/paper/raw_to_tape/2455949/       |                     NULL                     |      R      |   1    |
|  32 |    5950    |      folio:/data4/paper/raw_to_tape/2455950/       |     folio:/data4/paper/2011EoR/2455950/      |      B      |  143   |
|  32 |    5950    |      folio:/data4/paper/raw_to_tape/2455950/       |                     NULL                     |      R      |   1    |
|  32 |    5951    |      folio:/data4/paper/raw_to_tape/2455951/       |     folio:/data4/paper/2011EoR/2455951/      |      B      |  141   |
|  32 |    5951    |      folio:/data4/paper/raw_to_tape/2455951/       |                     NULL                     |      R      |   2    |
|  32 |    5952    |      folio:/data4/paper/raw_to_tape/2455952/       |     folio:/data4/paper/2011EoR/2455952/      |      B      |  122   |
|  32 |    5952    |      folio:/data4/paper/raw_to_tape/2455952/       |                     NULL                     |      R      |   1    |
|  32 |    5953    |      folio:/data4/paper/raw_to_tape/2455953/       |     folio:/data4/paper/2011EoR/2455953/      |      B      |  143   |
|  32 |    5953    |      folio:/data4/paper/raw_to_tape/2455953/       |                     NULL                     |      R      |   1    |
|  32 |    5954    |      folio:/data4/paper/raw_to_tape/2455954/       |     folio:/data4/paper/2011EoR/2455954/      |      B      |  143   |
|  32 |    5954    |      folio:/data4/paper/raw_to_tape/2455954/       |                     NULL                     |      R      |   1    |
|  32 |    5955    |      folio:/data4/paper/raw_to_tape/2455955/       |     folio:/data4/paper/2011EoR/2455955/      |      B      |  142   |
|  32 |    5955    |      folio:/data4/paper/raw_to_tape/2455955/       |                     NULL                     |      R      |   1    |
|  32 |    5956    |      folio:/data4/paper/raw_to_tape/2455956/       |     folio:/data4/paper/2011EoR/2455956/      |      B      |   11   |
|  32 |    5956    |      folio:/data4/paper/raw_to_tape/2455956/       |                     NULL                     |      R      |   2    |
|  32 |    5958    |      folio:/data4/paper/raw_to_tape/2455958/       |     folio:/data4/paper/2011EoR/2455958/      |      B      |  123   |
|  32 |    5958    |      folio:/data4/paper/raw_to_tape/2455958/       |                     NULL                     |      R      |   1    |
|  32 |    5959    |      folio:/data4/paper/raw_to_tape/2455959/       |     folio:/data4/paper/2011EoR/2455959/      |      B      |  141   |
|  32 |    5959    |      folio:/data4/paper/raw_to_tape/2455959/       |                     NULL                     |      R      |   2    |
|  32 |    5960    |      folio:/data4/paper/raw_to_tape/2455960/       |     folio:/data4/paper/2011EoR/2455960/      |      B      |  142   |
|  32 |    5960    |      folio:/data4/paper/raw_to_tape/2455960/       |                     NULL                     |      R      |   2    |
|  32 |    5961    |      folio:/data4/paper/raw_to_tape/2455961/       |     folio:/data4/paper/2011EoR/2455961/      |      B      |  142   |
|  32 |    5961    |      folio:/data4/paper/raw_to_tape/2455961/       |                     NULL                     |      R      |   2    |
|  32 |    5962    |      folio:/data4/paper/raw_to_tape/2455962/       |     folio:/data4/paper/2011EoR/2455962/      |      B      |  140   |
|  32 |    5962    |      folio:/data4/paper/raw_to_tape/2455962/       |                     NULL                     |      R      |   3    |
|  32 |    5963    |      folio:/data4/paper/raw_to_tape/2455963/       |     folio:/data4/paper/2011EoR/2455963/      |      B      |  142   |
|  32 |    5963    |      folio:/data4/paper/raw_to_tape/2455963/       |                     NULL                     |      R      |   2    |
|  32 |    5964    |      folio:/data4/paper/raw_to_tape/2455964/       |     folio:/data4/paper/2011EoR/2455964/      |      B      |   16   |
|  32 |    5964    |      folio:/data4/paper/raw_to_tape/2455964/       |                     NULL                     |      R      |   2    |
|  32 |    5965    |      folio:/data4/paper/raw_to_tape/2455965/       |     folio:/data4/paper/2011EoR/2455965/      |      B      |  109   |
|  32 |    5965    |      folio:/data4/paper/raw_to_tape/2455965/       |                     NULL                     |      R      |   2    |
|  32 |    5966    |      folio:/data4/paper/raw_to_tape/2455966/       |     folio:/data4/paper/2011EoR/2455966/      |      B      |  142   |
|  32 |    5966    |      folio:/data4/paper/raw_to_tape/2455966/       |                     NULL                     |      R      |   2    |
